e11907d7 AABonusDamage
b07a8b34 BigDamage
3876757c BladeDamage
fd033db4 BlastDamage
27fd575a BleedDamage
e5c86e63 BleedDamagePerStack
1c3145b6 BloodShield
36a94cc0 BlueBase
b7402478 BlueDamage
45338ea3 BoltDamage
e06e243e BonusADFromMana
09a91dc8 BonusADRatio
d19caaa4 BonusAS
85743373 BonusArmor
81d148fa BonusArmorCalc
a2520941 BonusArmorDamageRatio
ce1d5dec BonusArmorPassive
f6b0b002 BonusArmorTooltip
458ded7b BonusAttackSpeed
c94903f8 BonusCritDamageRatio
0db90ee0 BonusCurentHealthDamage
7d1075e8 BonusDamageBase
e59e6565 BonusDamageTT
49726207 BonusDamageToMinions
033f86b5 BonusEnemyMaxHealthDamage
beadd5dc BonusHP
f25546f7 BonusHPRatio
caa72cfb BonusMR
1bd2a57a BonusMRTooltip
a9541fb7 BonusMaxHPDamage
aec08161 BonusMeleeDamage
a52207af BonusOnHitDamage
58642b4e BonusPassiveRange
af62d4fa BonusPenFromMythics
d089365f BonusResists
a1b687b5 BonusTrueDamage
0745b96e BootsOfSpeed
ed9e3c75 BootsWithoutActives
30fca063 BounceADRatio
9807c016 BounceAPRatioTooltip
744c14e1 BounceScalingTooltip
cb7681e6 BousPoisonedDamage
f92e8966 BraumArmorPercent
799945c4 BreakDamageBase
4217d8b4 BreakDamageTooltip
cb948e7a BuildsFromStopwatchGroup
82cb04b9 BurnDamage
79f5f843 CCAttachLockout
e368d8d0 CalculatedSlowAmount
7ca9e398 ChainLightningDamageTooltip
f3a98b94 ChampLevelReached
56b3f555 ChampRange
e96bcc02 ChampionAS
4734b06c ChampionHealingScalar
b39cb3a5 ChampionManaRestoreTT
0d157a9c ChargeDamage
457fdad2 ChargeHealthTooltip
6ffff8de ChogathCarnivoreHeal
801fdc73 ChogathCarnivoreMana
945394b6 ConeAPRatio
70fa45de CritBaseMult
bac7073c CritBonus
6206546d CritChanceAmp
1707c2e4 CritChancePerStepForTooltip
704d9ccc CritDamageMod
38a800d7 CritDamageModTooltip
8613a876 CritDamageMult
02075d4c CritMoveSpeedPercent
762f94f2 CritPercentIncrease
385e0169 CriticalDamage
094d6e51 CrystalAS
1144808d CrystalMS
613ad7d2 CurrentGloryAP
16a7e1a7 CurrentMythicBonus
3f481d8f CurrentMythicBonus2
e22a4dfe DPS
0e172b84 DaisyAD
1005e589 DaisyHP
7afd1c68 DaisyResists
6efd2d69 DamageAmountPerCritStep
fe409784 DamageBonusPVE
1976b078 DamageConversion
1edc845d DamageConversionBase
90309d78 DamageConversionPercentage
ed325470 DamageDone
bc2cb061 DamageIfThreeSpheres
ce4ed7c0 DamageMaxTotal
56237ed0 DamagePerPulse
968dece7 DamagePerSecondMax
dbf2b7a7 DamagePerShot
4a1e42e2 DamagePerSphere
ef37922d DamagePerStrike
8800309a DamagePerSubsequentBounce
e6b1bfb2 DamagePercentHealthTooltip
403da869 DamageReductionBounce
428c1fa9 DamageSubsequent
670d335b DamageToDeal
703c0bab DamageTooltip
bd471b30 DashDamage
74b9fa4d DeathmarkBase
67e72ce3 DebuffDuration
6ad59cd8 DecayPerSecond
bec86c6b DemonflareTotalDamage
a9e01039 DiminuendoShrinkAndWeakenPercent
f1ba18e0 DoTBaseDamage
332399be DoransItems
5f402f41 DotPercentTotal
cebf74b3 DragonDamagePerSecondCalc
7d17fa89 DrainDamageCalc
02a70103 DynamicRangeIncrease
c51e9cf3 E2Damage
5ea5cfa0 EBaseDamage
1901e3b2 EShieldBaseHealth
92ef9cd5 EShieldBonusHealthRatio
113ed447 EShieldbADRatio
deb68e57 EUltBaseDamage
da4c459a EchoPercentTooltipOnly
41aff25d EchoTADScalar
439457c7 EffigyDuration
483cfa2a Elixir
bbfea711 EmpoweredAS
eb3619bd EmpoweredArmorCalc
49bf65fc EmpoweredAttackDamage
bf25c6a9 EmpoweredBonusDamage
ca82d804 EmpoweredDamage
450caf84 EmpoweredDamagePerSecondTooltipOnly
8fafe0ac EmpoweredDamageTT
2330779f EmpoweredDamageTooltip
77ba3e3f EmpoweredHealPercentTooltip
263dffce EmpoweredHealTooltip
05fd7af5 EmpoweredMeleeDamageTooltip
ac8cc817 EmpoweredMissileBaseDamage
b7417ca4 EmpoweredPercentHealth
3131f888 EmpoweredQAS
c4f88ae2 EmpoweredQHeal
47621b49 EmpoweredQdamage
84fbcf3b EmpoweredSaplingDuration
fce0a2b8 EmpoweredSlowAmount
6dcb4cf0 EnemyMaxHealthDamage
b8a0b77e EnrageTotalASPerStack
e2b46279 EssenceTheftBaseHeal
dd399966 ExecuteDamagePercent
32154c70 ExplosionAPRatio
391134a0 ExplosionBaseDamage
1c015117 ExplosionTotalDamage
830765cf ExtraBoltDamage
77c09305 ExtraDamagePerSecondCharged
d23baac2 ExtraHitBaseDamage
f5468783 FalloffMod
e2446a2c FinalDamageMult
b0cbeb11 FinalTrueDamageOnHitTooltipOnly
bc8b695f FireboltDamage
6e674fa2 FirstHitDamageTooltip
ada6389f FlatAD
19f7e91a FlatDamageBase
c7ebd655 FlatDamageSweetSpot
1dd11e6b FlatDamageTrue
c29bcc52 FlatMS
3d8d4fc3 FlipDamage
3eea1e9d FourthShotExecutePercent
d3dcf3b6 GangplankRUpgrade01
d2dcf223 GangplankRUpgrade02
d4dcf549 GangplankRUpgrade03
6f6ef59e GoldBase
72618ec2 GoldDamage
63d1ccc9 GrantedAllyArmor
b731ff3d GrantedAllyMR
4224383c GrantedBraumArmor
54b024e6 GrantedBraumMR
8296b308 GravitumRBonusSlow
05ea28cd GravitumRBonusSlowBase
3207ba02 GuardianItems
77d2a999 HPPerLegendary
363b1402 HandleDamage
6cb9a2ae HarvestDuration
4318b214 HastePerLegendary
6a7bba73 HasteValueAllies
935e1be2 HasteValueForAllies
488a9ea9 HealAmountMin
40108a0d HealBasePerSecond
77a1b368 HealCalcMinion
5f124dcd HealMin
adb6678d HealPerSecondTOOLTIP
9c98ef71 HealTADCoefficient
57f207eb HealTotal
60ccb0e2 HealingAmpForLowHealthAllies
f38a49c9 HealingPercentTooltip
69677aeb HealingThresholdTOOLTIP
46ae650d HealthCostTooltip
6c9a0655 HealthPercentDamage
3d27aa7f HealthPercentTooltip
88eac71d HealthPercentTotalTooltip
e122bcb9 HealthRestoreForTooltip
d5b3bff6 HitAPRatio
eee334a6 HoldExecuteDamage
6b84742d HumanPercentHealth
909cfd1e HuntersMacheteGroup
f14634fa HuntersTalismanGroup
73e0fa13 ICD
abdec06f ImmolatingBurnDamageTooltip
971b7fed ImpactAPRatio
973a3117 ImpactBaseDamage
ec6115d6 ImpactDamage
303a6fd8 ImpactDamageTotal
a44698ed InfernumRBonusDamage
359ab6e0 InfernumRBonusDamageBase
6c1e1e2e InfernumRPenalty
1aa8109b InitialBaseDamage
a133d007 InitialBurstBaseDamage
19d777a6 InitialBurstDamage
dfa5fda6 InitialProcDamageAmount
cf639619 IsEmpowered
2001728c IsEvolved
9605b41b IsolationScalar
56a47c3f Items/ItemGroups/BootsOfSpeed
19a02cb6 Items/ItemGroups/BootsWithoutActives
2221d1df Items/ItemGroups/BuildsFromStopwatchGroup
c6c8ca03 Items/ItemGroups/Consumable
a1ca4cdd Items/ItemGroups/DoransItems
50fcb403 Items/ItemGroups/Elixir
1c3e1715 Items/ItemGroups/GangplankRUpgrade01
193e125c Items/ItemGroups/GangplankRUpgrade02
1b3e1582 Items/ItemGroups/GangplankRUpgrade03
ea8d4e65 Items/ItemGroups/GuardianItems
cfc13e40 Items/ItemGroups/HuntersMacheteGroup
623abcf1 Items/ItemGroups/HuntersTalismanGroup
cf16f20a Items/ItemGroups/LastWhisper
22b8e842 Items/ItemGroups/LegendaryClearingItems
cd9c297f Items/ItemGroups/Potion
d899ade5 Items/ItemGroups/SLIMEStarterItems
2f9d74aa Items/ItemGroups/StopwatchGroup
dcfc9477 Items/ItemGroups/TheBlackSpear
dcf5bf29 Items/ItemGroups/TotalBiscuit
7524c3cb Items/ItemGroups/ViktorHexCore
cb7b6abd LandingDamage
2ece4364 LaserAPRatio
bb7c8959 LastWhisper
a75d142f LegendaryClearingItems
1224eae9 LichBaneAPValue
2cf3df7d MSAmount
63b1a61c MSSteal
41e22f84 MagicDamagePerStack
b409ebfa MagicDamageReduction
f9b2ab95 ManaPerCharge
03494ad0 ManaRestore
ba657e7e ManaRestoreForTooltip
164a4a29 ManaRestoreOnSpellblade
903bade1 ManaRestorePercent
7cd353fb ManaRestoreTooltip
992ed4eb MaxADBonus
068f4c2d MaxAuraMonsterDamage
64f5428f MaxBonusAttackSpeed
1e5c2386 MaxBonusDamagePercent
34e55017 MaxDamageEvolved
2d590e35 MaxDamageEvolvedNL
4330cdc6 MaxDamageNL
2c54dbef MaxDamageTooltip
4166c595 MaxGrit
71014378 MaxHealingPercentAmp
6964cc9a MaxHealthDamage
8cbb1e0e MaxHealthRatio
5cbcb4e3 MaxHealthTADRatio
435a851a MaxHealthTooltip
9d94f679 MaxMagicDamage
7fdad35e MaxMana
94b4f48c MaxManaRestore
23d0e247 MaxPercentHPPerStack
f6e4bded MaxPhysicalDamage
9dec0a9c MaxQEmpowerPercentHP
cabca0ba MaxShieldMult
86df0364 MaxSpeed
3d536cd9 MaxSpeedCalc
7ba4d650 MaxSpellbladeStacks
5493a8c7 MaxSpheresToUse
f3e2154d MaxStun
19e930f4 MaxTotalDamage
e5c634ce MeleeItemCalcValue
6304eac4 MeleeItemCalcValueB
f9e4e158 MeleeValue
dbe58260 MidDamage
a46364be MidDamageMult
268fe30d MinDamageTooltip
5bb5e54b MinHealing
76d533ac MinHealthTooltip
fbe2eb62 MinSpeed
93cacc77 MinSpeedCalc
a263220e MinSpellbladeDamage
d780070b MinStun
c350693e MinTotalDamage
3d9338c5 MiniSubsequentMult
c51dcc36 MinimumDamage
6d625f7d MinimumDamageMinions
2a42e12d MinimumDamageTooltip
2d212113 MinimumDemonflareDamage
d4df2db3 MinimumDemonflareDamageTotal
ec204d2a MinimumPercentHealth
469ff840 MinimumWBaseDamage
7869469f MinionAS
244e08de MinionManaRestoreTT
2ed2bcd9 MinionMonsterHeal
71f48a7d MinionReductionModifier
b8bc93fa MinorDamageTooltip
539d3fa1 MissileAPRatio
b48f103b MissileBaseDamage
e1b8fdc9 MissileDamageTooltip
bd43d04d MissingHealthDamageRock
915eebde MissingHealthPercent
8ef1b705 ModifiedCD
d7d2c722 MonsterCapBase
64e1b0df MonsterCapTT
34a302bc MonsterDamage
8809e19c MonsterDamageCap
010aedc7 MonsterDamageTooltip
0b9b4c55 MonsterDamageTotalTOOLTIP
b4d8f040 MovementSpeedPercent
09b588a2 MovespeedBuff
6606697b MultiBulletDamage
77c9c0a3 MultiFireDamage
8a4eacf3 MultiHitAmp
99541612 MultiHitDamage
552b8146 MultiHitRatio
d366aae3 MultiMissileReduction
58e0fa20 MultiMissileTotal
e6d8f4aa MythicASBonus
541fd81e MythicBonus
18e822d2 MythicHasteAmount
78354f67 MythicMSPerLegendary
b7789576 MythicMagicPenPercent
3ef50fb7 MythicMagicPenetration
e2551094 MythicPassive
5a39e94d MythicPassiveAbilityHaste
217ef13b MythicPassiveBonus
6a0557ba MythicPassiveBonusTooltip
f8f4288c MythicPassiveHP
53518d28 MythicPassiveSizeTOOLTIP
294192ea MythicPenAmount
3f0ecb5d MythicStatAmount
d2e7ff6b NashorsAPValue
fdbfffaf NashorsBaseValue
d9736fba NearestEnemyBonus
98cb1979 NetDamage
e7884a41 NoImpactDamageScalar
e45b309f NormalDamage
b2b75e9d NoxianMightBonusAD
c59bf2ec OOCMS
a09dd13f OnHitAPRatio
1faada19 OnHitBaseDamage
1e1d24e4 OnHitBonus
5ab83474 OnHitBuffBaseDamage
d4a2ad0d OnHitBuffDamage
f7832406 OnHitDamageEmpowered
03ad01f7 OnHitMin
a8407c71 OnHitSecondary
7859a9e3 OneWaveDamage
20f24dee OrbAPRatio
f5a80e5f OrbDamage
aac14126 OuterConeMaxHPDamage
d8705294 OuterEdgeTooltip
72260122 PAPBaseTooltip
32529255 PAPTooltip
4d766e5f PBaseDamage
c07b1b00 PCurrentBaseDamage
d369f914 PCurrentPerStackDamage
4036f265 PExecuteAPRatioTooltip
0de8b072 PExecutePercentage
564f0299 PExecuteTooltip
cf9d3cb7 PVEDamage
258b832c PassThroughDamage
4bf29f10 Passive Base Damage
e1ed10f7 Passive Damage
be3b44fa PassiveAS
258d0fb4 PassiveAoEDamage
e8ec14f2 PassiveBaseDamage
899549dc PassiveBonusDamage
6c112bd4 PassiveCooldownModified
e8e356d9 PassiveCritConversionTooltip
2dc2de2b PassiveDamage
3010e0db PassiveDamageTotal
05c8555c PassiveHealAmount
0cd64bc0 PassiveHealCalculated
c08f1028 PassiveHealing
02ae9e03 PassiveHealingTooltip
e4a33032 PassiveHealingTotal
dd970b09 PassiveHealingTotalTooltip
83b199eb PassiveManaCalcTooltip
382246bd PassiveResistPercent
983f69a4 PassiveShieldHealthRatio
dd1924b0 PassiveSpeedBonus
7005888d PassthroughBaseDamage
e2207ac0 PerTargetCooldown
8fb380d4 PerTickDamageCalculated
8d67ea71 PercentArmor
c2026c00 PercentBonusAD
ac0467a3 PercentDPSOnHit
45fd792f PercentHPBase
23c5fdff PercentHPDamage
78b565a5 PercentHPDamageAPRatio
588f5573 PercentHPDamageBaseRock
781ef6bf PercentHPDamageTT
75cb30eb PercentHPPerStack
3bb00b80 PercentHealthBaseTOOLTIP
2b0acd0d PercentHealthEmpoweredTOOLTIP
182386f4 PercentHealthForAura
f53457a5 PercentMR
c4f99250 PercentMissingAmp
d361f2ed PercentMissingHPRatio
b779205d PercentOmniVampMod
1c17c0d1 PercentPhysicalVampMod
906817a9 PercentSuperQDamageTT
5903b2d5 PercentTotalADAmp
8426521f PercentageOfBonusHP
1997db83 PhoenixAoEDuration
1f9250e8 PhysicalDamagePerStack
e8efa6e6 PhysicalDamageReduction
90a7bca1 PoisonDuration
bdfad7ea Potion
4787a681 PowerChordDamage
2053f9b6 PranceBonusPerStack
579f20fb PranceSpeed
7ba7344b PullDamage
ed33b24f QAPRatioTooltip
499c5b81 QBADRatioTooltip
f0847984 QBaseDamage
43db6a36 QBonusAD
37db5752 QBonusAP
a141ce4c QEdgeDamage
8286c138 QEmpowerPercentHP
2c4aa134 QEmpoweredAmp
eecda066 QHeal
67c92a3c QSingleTargetDamage
59e98dae QTotalADRatio
251ff3bb QUltBaseDamage
715795e4 QUltBaseDamageBeam
1469af2a QueenMaxDashRange
a3015204 R1APRatio
9ee6a934 R1BaseDamage
f5e6b66b R1TotalDamage
18964e99 R2BaseDamage
b3c26649 RADDamage
4cd5d2cb RADRatio
51ed68ef RAPRatio
4ed7af42 RBaseHeal
48054a0b RBaseMonsterDamage
093c34b9 RBaseValue
671f1598 RBigGhoulBonusAD
71367ea5 RBigGhoulBonusHP
b50a7458 RBonusADRatio
9ecb7cbe RE1Base
d4cf1dcb RE2Base
443b3a16 REBonusShield
998c3930 RFalloffDamage
f5500f6a RQ1Base
f00eb477 RQ2Base
853a5841 RQFieldDamage
72df4115 RQTotalImpactDamage
dfcc38b0 RShadowDurationDisplayed
06304373 RTotalADRatio
b41213cb RWBase
b19c3274 RWHealAmount
47857800 RWTotalRoot
82c9595a RampageBonusRatio
ccebe3ab RangePercentIncrease
ea1217fc RangedEffectiveness
fb7d62fe RangedFormShred
3b00d8b1 RangedItemCalcValue
b5555429 RangedItemCalcValueB
21749476 RangedMod
d5efdd4b RangedValue
47e70faf ReaperDamage
b0dde3e1 RecallDamage
75773e89 RedBase
f7b8ac3d RedDamage
69ebc1b4 ReducedDamage
a6f37cec Resists
28642cae ResourceGain
08e05b0f ReturnBaseDamage
37d9a590 RocketDamage
c24238c0 RootDamage
690e7f2e SLIMEStarterItems
0bde30ee STBaseDamage
92c7948f STDamage
48ecc148 SecondDamage
b285eb3f SecondHitDamage
31ec38be SecondHitDamageTooltip
48c57450 SecondaryDamageMin
5327ae6c SecondaryHealingTooltip
389cfd75 SecondaryTargetDamage
94fc9996 SecondaryTargetDamageMultiplier
77f851f0 SecondsPerTick
f633bbc5 SeedCooldown
a6278d35 SelfCastFlatHeal
f4c0c480 ShieldAPRatio
68cdc5eb ShieldAPRatioTooltip
40ee74ec ShieldAmount
b28e2f74 ShieldAmountTT
ebc34ac5 ShieldBHPRatio
af89b1d0 ShieldBaseDamage
da502e71 ShieldBlockTotal
9194b31e ShieldBonusHealthPercent
2182c0b6 ShieldCooldownReduction
927c7fa7 ShieldHealthScaling
971b7be7 ShieldMultiplier
cafcc1c4 ShieldPerChampion
b2044582 ShieldPercentHealthTooltip
4641fc01 ShieldSize
08457caa ShieldTotal
5164e330 ShotDamage
226d2f2a ShurelyasMythicPassive
366c3c80 SingleBulletDamage
140bdb48 SingleFireDamage
a0ec138f SingleStackAS
d6c08fcd SiphonDamage
276ff948 SizePerLegendary
d1601b38 SlamDamageTotalTooltip
4f9d2d87 SlashDamage
fc9607de SlayerDamage
b685c4c2 SlayerHealPercent
cf1733d7 SlayerMaxHPBaseDamage
1bf14cf3 SlayerMaxHPDamagerPer100AD
ec3b23ad SmallDamage
8592e8a4 SmallSharkDamage
3331d29f SpawnCD
ebf9a80f SpeedCeiling
a3bbc1e0 SpeedDuration
c207a39e SpellMantraRefund
15ce57c0 SpellbladeDamage
6abad9b9 SpinDuration
32d8098c StabDamage
a6abd0d6 StaccatoDamage
b61b0e30 StackDamageMax
4d770ed6 StealFloor
9372d7eb StopwatchGroup
48bb9323 StructureDamage
da9068a6 StunCD
4fc8ec0c StunDamage
bed1a105 SubesquentDamage
475333c2 SubsequentBurstBaseDamage
79be7972 SuperQBasePercentage
8c73f2c0 SuperQMonsterMaxDamageTotal
cbb497b6 SweetSpotDamage
62be67ad SweetSpotDamageTooltip
763fa96c SweetSpotMultiplier
92934bde SweetSpotTotalDamage
e4b30b1e TTFirstHitEnergy
d547ff49 TantrumDamage
20ebfeef TapDamage
232980d2 TauntDamage
d44ef505 TempoMoveSpeedSlow
3c90c68a TenacityAndSlowResistPerLegendary
f030db34 TheBlackSpear
f664d9a5 ThreeHitDamage
de9168fe ThrowDamage
725b3462 ThrustDamage
4d036a97 ThunderclapBaseDamage
b61ae7ed ThunderclapBaseDamageAPRatio
e77c77e5 ThunderclapBaseDamageArmorRatio
0e9256cb ThunderclapSlowDamage
1dbb5920 ThunderclapSplash
a2e24a19 ThunderclapSplashAP
ffe1f707 ThunderclapSplashArmor
491efe91 ThunderclapSplashDamage
612a9df9 TibbersAADamage
abe71d12 TibbersAttackAPRatio
3037dc4b TibbersAttackDamage
21bcb144 TibbersAuraDamage
28d8bf2c TickAPRatio
4a7b19bc TickBaseDamage
bd0dbd75 TickCalculatedDamage
6df27940 TicksPerSecond
b09a4aae TimeBetweenVesselTentacleSlams
2f2b53a0 TimeToAfterburners
c0359ed0 TooltipBaseDamage
426d7ce1 TooltipDamage
c05e5c87 TooltipHealthCost
9b9373dd TooltipMaxArmor
01b20ba9 TooltipMaxTargetsHit
f34bcd47 TooltipTotalDamage
08a30ad0 TotalAD
5e9d3258 TotalADDamageCalc
d03aede1 TotalADPercent
563bb723 TotalADRatio
07caed88 TotalAoEDamageTooltip
19bffac7 TotalArmorTooltip
1319f201 TotalBaseDamage
4ee89448 TotalBiscuit
f943352d TotalBonusDamage
dc7aa688 TotalBonusDamageTooltip
af6d44aa TotalBonusHealth
c75540a7 TotalBonusResists
c8f2acb1 TotalBurnDamage
3a24281b TotalChampionDamage
9037c062 TotalChillingDamage
b7844e6f TotalConeDamage
f39b14e6 TotalDPS
e1cd30a2 TotalDamageActive
78e501d4 TotalDamageAmount
6df029ac TotalDamageCrit
c202d746 TotalDamageMax
52fe101f TotalDamageMinTooltip
26f85f5a TotalDamageNearest
e9533816 TotalDamageNearestCrit
8786ee87 TotalDamageNoCrit
29687c70 TotalDamageNoW
b27a6a1b TotalDamageOffTargetTooltip
e11b40fd TotalDamagePassive
14fb8a67 TotalDamagePerSecond
bcc89a20 TotalDamageTT
f2cbde43 TotalDamageTooltip
f5bd40f9 TotalDetonationDamage
76d90019 TotalDotDamage
e33254fc TotalEmpoweredDamage
ff4bf141 TotalExecuteDamage
c25bda89 TotalExplosionDamage
c150a188 TotalHaste
3d3d6f53 TotalHeal
b2145a17 TotalHealPerSecondTooltipOnly
b978a8c3 TotalHealTT
dd734662 TotalHealTooltip
a77170f0 TotalHealingTooltip
0efa1c0f TotalHealthDamagePercent
8a473a1a TotalInitialDamage
7d96f45d TotalMRTooltip
f784daf9 TotalMS
a242fa98 TotalMSBonus
04be1f39 TotalMSTT
ad9e058c TotalMaxDamage
26c6277e TotalMinDamage
8fb7be2e TotalMinimumDamage
7d5edc8a TotalMissileDamage
27112094 TotalMonsterDamageCap
d5f107db TotalMovementSpeed
ac67c2e7 TotalMovespeed
1e48db18 TotalOnHitDamage
78fcefbb TotalPassiveShield
f9661c74 TotalPassthroughDamage
7bbf6417 TotalPercentHPDamage
dc241559 TotalPercentHealthDamage
c584552a TotalPercentHealthDamageFeared
93647046 TotalReturnDamage
4b16eb68 TotalRootDamage
6594c758 TotalShield
91b271c4 TotalShieldAmount
c4cef8f9 TotalShieldStrength
93488990 TotalShieldTT
43cd6173 TotalShieldTooltip
07dba2f5 TotalSingleTargetDamage
9d442210 TotalSlow
eaf11e4c TotalSlowAmount
42b1e13b TotalSlowTooltip
29e2947a TotalSnowballDamage
12692efd TotalXP
de7730ea TowerAPDamage
5998b3af TowerDamage
1345a1ae TowerDamageTooltip
67d94553 TremorBonus
645cd89d TremorDamage
52339d33 UnempoweredPercentHealth
f55ebc02 UnitsToGrave
f4e9b5ef UpfrontShieldHealthRatio
9f59f055 VanillaBase
a0054fa1 VanillaDamage
45c81bbe VanillaFalloff
fdd9e74e VarusWOnHitDamage
4cbd3804 ViktorHexCore
1983e226 VoidlingBonusDamageTooltip
c6bf92da WBaseDamage
845dd8d9 WMSBonus
7d2a5eeb WMSBonusAPRatio
8ca25239 WMSBonusTotal
47382c9f WMissingHPBase
8cebf5c4 WMissingHPHeal
635eac09 WMissingHPPer100AP
f2a31bdb WShield
280d0392 WShieldCalc
6958137c WTotalADRatio
f2987bed WUltBaseDamage
15ab8d4e WUltExtraHitBaseDamage
d72a20fd WUltTotalBaseDamage
d010c2bc WUltTotalDamage
8e623590 WardRequirementMet
2bf53be5 Waves
01725633 XPPer5
5330b2fd ZoneDamageTooltip
625dda5c bADDetonationRatio
436c8ada bADRatioPerStack
0a2ee949 base damage
500368ef energyrefund
5b98619f mAbilityHasteMod
409753d5 rAPCoefficient
86f779b1 tAD Ratio
5114133d tADRatio
61571ee1 tADRatioMax
736ac2ef tADRatioMin
